Id,SalePrice
1461,112548.46186769409
1462,142413.02119089192
1463,172215.2350655882
1464,183798.6181193933
1465,175264.41999455902
1466,156705.92907926886
1467,159409.0041278265
1468,149999.1125900443
1469,172058.53574601997
1470,112316.36857147011
1471,170372.84858566162
1472,88061.17730705375
1473,87757.93035243987
1474,133798.39119703558
1475,101869.39619430515
1476,328372.3167891456
1477,226740.40365675784
1478,269189.17951752373
1479,263386.65711491054
1480,446972.0026944087
1481,301555.362097124
1482,188475.41142242774
1483,163079.4016887758
1484,149543.73178329377
1485,172114.6263549974
1486,177907.07884091657
1487,302693.998327001
1488,209365.5989608051
1489,180284.6782531405
1490,217833.6088076188
1491,177389.49900493975
1492,84720.94850340245
1493,165132.68124932717
1494,265504.326181406
1495,262273.27778502787
1496,217524.66641736287
1497,165763.91361279058
1498,161070.5540293786
1499,152293.11470037044
1500,146546.4599786495
1501,162899.95413653343
1502,133887.46944700764
1503,274375.9530168188
1504,220854.2875423292
1505,206526.25082921772
1506,171906.02455787343
1507,228822.529933328
1508,181401.56565839497
1509,146296.62266370584
1510,134540.70198348857
1511,140185.23436913115
1512,158067.44872545102
1513,132033.61948970196
1514,142639.08878738963
1515,171832.58731060423
1516,137273.97806396143
1517,154725.24091585597
1518,119685.42954481217
1519,198585.93630090344
1520,118438.68157358743
1521,122073.55686435147
1522,156562.2593838029
1523,103268.27138910527
1524,111854.00950053599
1525,109307.64620644329
1526,102384.42765733812
1527,97000.91855291455
1528,121959.51929491537
1529,140308.1323614747
1530,169333.6661503224
1531,97516.61737301096
1532,85569.74858712609
1533,136246.34488875212
1534,111776.76250895497
1535,135456.9584485347
1536,99590.57032778465
1537,57302.548589242564
1538,136254.07101710892
1539,170870.90746468958
1540,81675.13040111547
1541,128853.09177560789
1542,132014.18141524776
1543,178576.7305612871
1544,75785.39966048975
1545,101913.37596846536
1546,123700.74912953256
1547,124537.53925959546
1548,125281.59285682096
1549,107006.26902348391
1550,124479.2729531335
1551,97446.2148594532
1552,125538.13530080255
1553,133834.6789472476
1554,105169.2997797807
1555,151180.67357215614
1556,76017.37451912745
1557,98922.7676557095
1558,93910.75895767545
1559,65851.850501009
1560,116486.23076896614
1561,117855.78874545664
1562,118545.01672341002
1563,111720.48456487004
1564,143921.2449658212
1565,140460.4830420785
1566,213808.73957150022
1567,69559.16920323894
1568,215908.37986429344
1569,123626.52828693723
1570,124219.65972696207
1571,108271.97118347847
1572,131283.14614912623
1573,218287.0378240085
1574,107417.30467786046
1575,208410.30034262262
1576,225620.12363259433
1577,168090.2016293892
1578,130393.2135588207
1579,136251.20584567403
1580,176611.11966721766
1581,139245.7718928619
1582,114313.30459960876
1583,277227.0787224475
1584,201147.7809056522
1585,125871.332080573
1586,66831.804473242
1587,94439.13608581667
1588,136254.9725527992
1589,89667.32334671014
1590,120473.84312040782
1591,85661.17171181072
1592,108504.63793028539
1593,117243.32735757568
1594,113532.82783231078
1595,98390.09684080326
1596,202822.86751270495
1597,178894.35630287696
1598,204494.07418964533
1599,153889.0149114878
1600,150911.9139622712
1601,59237.631795952
1602,104816.21136784142
1603,70971.4757126743
1604,242207.53945787632
1605,217909.9038059241
1606,152962.7929144169
1607,156890.11529945603
1608,198670.26577259065
1609,166819.47617893518
1610,141987.0877600084
1611,124987.20902107014
1612,156759.84434805784
1613,154335.59318541305
1614,111771.39992969905
1615,81771.626449619
1616,68547.57773161663
1617,83913.42299173563
1618,117904.31655651929
1619,130459.50378274024
1620,141526.55396777828
1621,124859.41201056166
1622,130557.45128802287
1623,239481.70112359503
1624,197341.78959876136
1625,107746.85036950413
1626,150867.5559361533
1627,177689.22598077072
1628,251298.03795638605
1629,164556.1150493232
1630,317307.239890332
