superficieEtage1,superficieEtage2,superficieRallonge3Saisons,nbChambres,superficieFinieSousSol1,superficieFinieSousSol2,nbSallesBainSs,nbDemiSallesBainSs,superficieSousSolNonAmenagee,superficiePorcheFerme,nbCheminees,nbSallesBain,superficieGarage,nbPlacesVoiture,anneeConstrGarage,superficieHabitableSaufSs,nbDemiSallesBain,id,nbCuisines,superficieTerrain,longTerrainRue,superficieQualiteInferieure,typeClasseBatiment,superficiePlacageMaconnerie,valeursElementsDivers,moisVente,superficiePorcheOuvert,conditionGlobale,qualiteGlobale,superficiePiscine,prix,superficieSolarium,nbPieces,superficieTotaleSousSol,superficieTerrasseBois,anneeConstruction,anneeRenovation,anneeVente
6.75343791859778,6.75110146893676,0.0,3,6.561030665896573,0.0,1.0,0.0,5.017279836814924,0.0,0,2,50.910865920000006,2.0,2003.0,5.074324694833114,1,1,0.6931471805599453,6.666995834924036,3.0355297434280573,0.0,4.110873864173311,5.2832037287379885,0.0,2,1.897182798913039,5,7,0.0,12.16196804749076,0.0,8,79.52500224,0.0,2003,2003,2008
7.141245122350491,0.0,0.0,3,6.88653164253051,0.0,0.0,0.6931471805599453,5.652489180268651,0.0,1,2,42.7353984,2.0,1976.0,4.772747211801389,0,2,0.6931471805599453,6.794440079664198,3.2341190542808946,0.0,3.044522437723423,0.0,0.0,5,0.0,8,6,0.0,12.023285437297414,0.0,6,117.24363648,3.356378030569241,1976,1976,2007
6.825460036255307,6.7650389767805414,0.0,3,6.18826412308259,0.0,1.0,0.0,6.075346031088684,0.0,1,2,56.48504832,2.0,2001.0,5.117543587967164,1,3,0.6931471805599453,6.952880831896571,3.0785281109623934,0.0,4.110873864173311,5.093750200806762,0.0,9,1.5896285318351173,5,7,0.0,12.231440069603565,0.0,6,85.4707968,0.0,2001,2002,2008
6.8690144506657065,6.6293632534374485,0.0,3,5.37989735354046,0.0,1.0,0.0,6.293419278846481,5.60947179518496,1,1,59.64375168,3.0,1998.0,5.078384403774282,0,4,0.6931471805599453,6.78922399946112,2.95948314087887,0.0,4.2626798770413155,0.0,0.0,2,1.4472968879918024,5,7,0.0,11.763673985600045,0.0,7,70.23469824,0.0,1915,1970,2006
7.044032897274685,6.960347729101308,0.0,4,6.486160788944089,0.0,1.0,0.0,6.19644412779452,0.0,1,2,77.66694144,3.0,2000.0,5.323989411143129,1,5,0.6931471805599453,7.189769331313817,3.281031509303978,0.0,4.110873864173311,5.860786223465865,0.0,12,2.175189734633303,5,8,0.0,12.343489056687693,0.0,9,106.3739808,2.935843389016495,2000,2000,2008
6.680854678790215,6.340359303727752,5.771441123130016,1,6.597145701886651,0.0,1.0,0.0,4.174387269895637,0.0,0,1,44.593459200000005,2.0,1993.0,4.848382529016726,1,6,0.6931471805599453,7.179556726366359,3.2924236401633595,0.0,3.9318256327243257,0.0,6.55250788703459,10,1.3315982310167955,5,5,0.0,11.784876029988107,0.0,5,73.95081984000001,1.5509867669058974,1993,1995,2009
7.43543801981455,0.0,0.0,3,7.222566018822171,0.0,1.0,0.0,5.762051382780177,0.0,1,2,59.08633344,2.0,2004.0,5.064983000826807,0,7,0.6931471805599453,6.8435732333502886,3.17220341666977,0.0,3.044522437723423,5.231108616854587,0.0,8,1.8398308481491261,5,8,0.0,12.548875077265564,0.0,7,156.63452544,3.206409449508011,2004,2005,2007
7.010311867307229,6.891625897052253,0.0,3,6.756932389247553,3.4965075614664802,1.0,0.0,5.37989735354046,5.43372200355424,2,2,44.96507136,2.0,1973.0,5.273857414090197,1,8,0.6931471805599453,6.8726661547798855,3.092774011197619,0.0,4.110873864173311,5.484796933490655,5.860786223465865,11,2.9933404233595597,6,7,0.0,12.120346594881894,0.0,7,102.84366528,3.128172451019754,1973,1973,2009
6.930494765951626,6.6240652277998935,0.0,2,0.0,0.0,0.0,0.0,6.859614903654202,5.327876168789581,2,2,43.47862272,2.0,1931.0,5.110842512055045,0,9,1.0986122886681096,6.344875729165524,2.80607185305633,0.0,3.9318256327243257,0.0,0.0,4,0.0,5,7,0.0,11.688797091748123,0.0,8,88.44369408,2.236581349609107,1931,1950,2008
6.982862751468942,0.0,0.0,2,6.747586526829315,0.0,1.0,0.0,4.948759890378168,0.0,2,1,19.045123200000003,1.0,1939.0,4.615680499427681,0,10,1.0986122886681096,6.5371850364100546,2.787477334733532,0.0,5.25227342804663,0.0,0.0,1,0.3159868071258013,6,5,0.0,11.592717638370367,0.0,5,92.06691264,0.0,1939,1950,2008
